date,Socialdemokratiet,Radikale_Venstre,Det_Konservative_Folkeparti,Nye_Borgerlige,Klaus_RiskÃ¦r_Pedersen,Socialistisk_Folkeparti,Veganerpartiet,Liberal_Alliance,Kristendemokraterne,Dansk_Folkeparti,Stram_Kurs,Venstre,Enhedslisten,Alternativet
2020-05-29,34.5,6.2,6.9,5.8,0.0,7.3,,2.8,,6.8,0.8,20.4,6.1,1.1
2020-05-31,34.7,7.7,7.6,2.7,0.0,7.7,,2.5,,6.8,0.5,19.5,9.0,0.5
2020-06-07,35.5,7.6,7.3,2.5,0.6,7.4,,2.2,,5.9,1.1,19.1,8.5,0.8
2020-06-10,33.8,7.5,7.6,7.7,,6.6,,1.8,0.7,6.6,1.3,18.6,7.0,0.8
2020-06-11,33.1,7.4,7.0,5.8,0.0,6.6,,2.1,1.7,6.1,0.4,21.4,6.6,1.5
2020-06-13,34.0,8.4,7.3,3.4,1.1,7.0,,2.1,,6.6,0.8,20.4,7.9,0.5
2020-06-21,34.6,8.0,7.5,4.0,0.3,7.4,,2.0,,6.0,0.4,19.9,8.0,0.6
2020-06-25,31.0,8.2,9.0,6.2,0.3,7.8,,3.2,1.4,6.1,1.5,17.4,6.8,1.0
2020-06-28,35.5,7.3,6.8,5.3,0.0,7.3,,2.4,,5.4,0.6,20.1,7.3,0.5
2020-07-06,32.7,6.4,8.8,8.1,,6.7,,3.0,1.7,6.5,0.7,17.0,7.7,0.7
2020-08-08,33.4,7.4,6.9,4.2,0.3,8.3,,1.9,,6.1,0.3,18.9,8.4,1.2
2020-08-13,30.3,7.5,9.1,6.5,0.1,7.6,,2.4,1.5,7.6,0.4,19.0,7.3,0.4
2020-08-16,32.9,7.8,7.9,4.5,0.2,7.4,,2.7,,7.0,0.6,17.8,8.0,0.7
2020-08-23,31.8,7.4,8.7,4.4,0.1,7.9,,2.1,,7.4,0.4,18.5,7.7,0.8
2020-08-27,31.3,7.3,9.2,6.6,0.4,7.3,,2.4,1.5,6.2,1.7,18.3,7.0,0.7
2020-08-30,32.4,7.5,8.7,4.4,0.0,7.8,,2.1,1.6,7.3,0.2,19.3,7.3,0.5
2020-09-06,33.4,6.8,7.5,4.7,,8.6,,2.3,1.5,6.0,0.3,20.4,7.7,0.4
2020-09-07,34.0,7.7,9.8,8.1,,6.6,,2.7,1.6,7.1,1.2,13.9,6.9,0.5
2020-09-08,33.2,7.1,8.7,6.2,,6.6,,2.5,2.4,6.9,0.8,17.2,6.3,0.9
2020-09-12,32.6,7.8,8.0,4.4,,8.8,,1.8,1.5,6.2,0.8,19.9,7.3,0.4
2020-09-20,32.9,8.9,8.1,4.1,,8.2,0.3,1.9,1.3,6.1,0.3,19.3,7.6,0.8
2020-09-27,33.1,8.3,8.4,3.8,,8.6,0.2,2.1,1.8,6.8,0.4,18.4,7.0,1.0
2020-09-28,31.3,6.6,10.6,6.9,,6.8,0.3,2.1,1.4,6.6,1.0,17.7,7.3,0.6
2020-10-04,29.4,8.3,10.4,6.7,0.1,7.1,0.7,2.1,1.6,6.2,0.6,19.1,6.7,0.9
2020-10-04,32.4,8.5,9.0,4.3,,8.2,0.4,2.4,1.5,7.1,0.1,18.6,6.5,0.9
2020-10-05,32.4,6.5,10.6,9.4,,5.6,1.5,2.1,1.6,6.8,0.6,15.8,6.6,0.7
2020-10-11,31.4,7.8,9.6,4.3,,7.9,0.6,2.2,1.3,6.7,0.6,19.3,6.9,0.9
2020-10-18,30.8,7.3,9.3,4.8,,8.8,0.4,2.6,1.7,6.9,0.6,18.3,7.2,1.1
2020-10-22,27.9,3.9,11.3,10.0,,8.4,0.4,3.3,1.3,5.2,0.9,17.3,8.5,1.1
2020-10-25,29.7,5.1,9.3,6.4,,8.7,0.8,2.2,1.7,5.9,0.6,20.4,7.8,1.1
2020-11-01,30.5,5.7,9.9,6.1,,8.8,0.6,2.3,2.4,5.0,,19.4,7.4,0.8
2020-11-07,32.5,4.6,9.5,5.7,,8.3,0.6,2.2,2.8,5.8,,18.5,7.8,0.8
2020-11-12,29.2,6.3,9.8,8.9,,7.4,0.4,2.7,1.8,5.6,0.7,18.4,7.4,0.6
2020-11-15,31.3,5.1,9.5,5.3,,9.0,0.5,2.7,2.5,5.4,,18.6,8.7,0.4
2020-11-22,29.2,6.3,9.1,5.2,,8.6,0.5,3.2,2.3,5.1,,20.3,8.4,0.6
